"","logFC","logCPM","F","PValue","FDR","gene_name","z","gene_id","ovl_with_cherryetal","gene_id_trimmed","Human_gene_id","HGNC.symbol"
"Acly",-0.414468059821118,7.18177503240939,24.6526196386441,0.000181029775156979,0.00258895369992934,"Acly",-3.74411632335764,"ENSMUSG00000020917.17",TRUE,"ENSMUSG00000020917","ENSG00000131473","ACLY"
"Net1",-0.90386026085506,3.22601385313463,24.6437968895806,0.000181338011452706,0.00259103180245497,"Net1",-3.74368910023376,"ENSMUSG00000021215.15",TRUE,"ENSMUSG00000021215","ENSG00000173848","NET1"
"Gpr107",0.472408477600056,6.27314951789686,24.5905614942062,0.000183210600507912,0.00261543822251107,"Gpr107",3.74110822563027,"ENSMUSG00000000194.13",TRUE,"ENSMUSG00000000194","ENSG00000148358","GPR107"
"Akr1cl",-1.83108684842905,1.70812160124308,24.5850077992556,0.000183407220238256,0.00261589688201703,"Akr1cl",-3.7408386770118,"ENSMUSG00000025955.13",FALSE,"ENSMUSG00000025955",NA,NA
"Dhx34",0.600245050722611,4.11886072208838,24.5603516225349,0.000184283038636744,0.0026260333005736,"Dhx34",3.73964129638553,"ENSMUSG00000006019.15",TRUE,"ENSMUSG00000006019","ENSG00000134815","DHX34"
"Bmp2k",-0.550788606853997,4.60678816576232,24.4608472213797,0.000187866273697581,0.00267469771764783,"Bmp2k",-3.73479752370012,"ENSMUSG00000034663.13",TRUE,"ENSMUSG00000034663","ENSG00000138756","BMP2K"
"Gm18068",-5.62654852229989,-1.39837586996953,24.4525110132582,0.00018817005095788,0.00267662640463611,"Gm18068",-3.73439088395166,"ENSMUSG00000117182.1",TRUE,"ENSMUSG00000117182",NA,NA
"Tsc22d3",-0.394174286645943,7.06177262607492,24.4189681463238,0.000189398041798592,0.00269168637955587,"Tsc22d3",-3.73275334517894,"ENSMUSG00000031431.13",TRUE,"ENSMUSG00000031431","ENSG00000157514","TSC22D3"
"Golm1",0.629941943641981,4.52938726963222,24.4018690505693,0.00019002754213351,0.00269822143084751,"Golm1",3.731917764898,"ENSMUSG00000021556.12",TRUE,"ENSMUSG00000021556","ENSG00000135052","GOLM1"
"Prelid1",0.380300062531589,6.61752320472834,24.3669639121808,0.00019131997758928,0.00271414951258012,"Prelid1",3.73021034672858,"ENSMUSG00000021486.7",TRUE,"ENSMUSG00000021486","ENSG00000169230","PRELID1"
"Tmod1",-0.939968582850909,2.97378109776398,24.3490173328591,0.000191988380791682,0.00272120429565964,"Tmod1",-3.7293315769417,"ENSMUSG00000028328.13",FALSE,"ENSMUSG00000028328","ENSG00000136842","TMOD1"
"Rtp4",-0.629547468383608,4.90623874226036,24.3278999091225,0.000192778286279959,0.00272644177762865,"Rtp4",-3.7282967635834,"ENSMUSG00000033355.6",TRUE,"ENSMUSG00000033355","ENSG00000136514","RTP4"
"Usp18",-0.588092519005413,4.59685990081986,24.3238896898275,0.00019292870778634,0.00272644177762865,"Usp18",-3.72810015608906,"ENSMUSG00000030107.10",TRUE,"ENSMUSG00000030107","ENSG00000161133","USP41"
"Zswim4",0.455273432325197,4.95683366875801,24.3208272811859,0.000193043667333828,0.00272644177762865,"Zswim4",3.7279499960202,"ENSMUSG00000035671.6",TRUE,"ENSMUSG00000035671","ENSG00000132003","ZSWIM4"
"Chpf2",0.480636654965086,6.07794295714116,24.3007403943124,0.000193799643897031,0.002734081982178,"Chpf2",3.72696462825854,"ENSMUSG00000038181.16",TRUE,"ENSMUSG00000038181","ENSG00000033100","CHPF2"
"Cep85l",-0.495920776267169,4.76344981081513,24.2970907023256,0.000193937362793262,0.002734081982178,"Cep85l",-3.72678550940538,"ENSMUSG00000038594.9",TRUE,"ENSMUSG00000038594","ENSG00000111860","CEP85L"
